the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AEAB34EFF9F654C0ADD247340FBC4140,72352,0101000020110F0000454EC1B62CCE61C1ECEA3D6CBD205041,71772,>1m <=5m,ATBI DATABASE,,1446863694000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240574,3928836,35.469207,-83.859001,Lake Cheoah-Little Tennessee River,,2031.489502,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863694000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1024704000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001E9B4D75B8DE54C04CE7DB73BAB94140,72373,0101000020110F0000D9F7F90093B961C180177A304F1E5041,71793,>1m <=5m,ATBI DATABASE,,1446863706000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274921,3925885,35.450996,-83.480004,Fontana Lake-Tuckasegee River,,2104.770508,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863706000,GRSM,UNR,,1,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,613180800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000453AAE6C3DCA54C03D7E693D7BE44140,72381,0101000020110F00006220FA172EA861C1520453D9F94A5041,71801,>1m <=5m,ATBI DATABASE,,1446863712000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,304783,3962255,35.785004,-83.159995,Pigeon River-Cripple Creek,,2422.003906,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446863712000,GRSM,UNR,,5,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000290246DECCC454C0AAABD533D1D24140,72384,0101000020110F000088412A658FA361C1FBFBAB9E7F385041,71804,>1m <=5m,ATBI DATABASE,,1446863714000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312142,3946780,35.647002,-83.075,Lower Cataloochee Creek,Cataloochee Creek,2545.575195,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863714000,GRSM,UNR,,4,,,Cataloochee Horse Trail,Cataloochee Group Camp Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,72385,0101000020110F00008A1D37A273A361C1C551E73A57305041,71805,>1m <=5m,ATBI DATABASE,,1446863714000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863714000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000966BF5C8ABC454C0E29CF297FFCA4140,72387,0101000020110F000036602C4C73A361C182C5C97754305041,71807,>1m <=5m,ATBI DATABASE,,1446863715000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312182,3940000,35.585918,-83.072981,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863715000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,Birds & Bird Parasites
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,72390,0101000020110F0000E0AAD1C349A361C167A168F912305041,71810,>1m <=5m,ATBI DATABASE,,1446863717000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863717000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1221955200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000013C7BCB978C454C0F33405D7C1CA4140,72391,0101000020110F0000D8F0C7EE47A361C1D48523FA13305041,71811,>1m <=5m,ATBI DATABASE,,1446863717000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312460,3939785,35.584034,-83.069865,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863717000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1192406400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,PKnob moths monitoring
0101000020E610000039FF74D844C454C0BBAF19CCDECA4140,72392,0101000020110F00009E43FCDE1BA361C12747C03732305041,71812,>1m <=5m,ATBI DATABASE,,1446863717000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312749,3939877,35.584917,-83.066698,Lower Johnathans Creek,Beantown Creek,4754.07373,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863717000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1192406400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008795F0D5A5C454C083F926AB74CA4140,72388,0101000020110F00007E44AC3E6EA361C167172663C32F5041,71808,>1m <=5m,ATBI DATABASE,,1446863716000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312205,3939529,35.581679,-83.072618,Lower Johnathans Creek,,4616.470215,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863716000,GRSM,UNR,,7,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089158400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,Lepidoptera Survey
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,72383,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,71803,>1m <=5m,ATBI DATABASE,,1446863713000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863713000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958262400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
