the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000731507A790EF54C05A440FDA7DBD4140,184388,0101000020110F00009C440B5AE1C761C130F8E3CB3B225041,184000,>1m <=5m,ATBI DATABASE,,1446922851000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251119,3929779,35.480396,-83.7432,Hazel Creek,Shehan Branch,1973.419434,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922851000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000057BBD75D41E054C0EBE0A744AEBF4140,184396,0101000020110F0000461E75B3E0BA61C13566505A84245041,184007,>1m <=5m,ATBI DATABASE,,1446922855000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272875,3931099,35.497499,-83.503986,Noland Creek,Noland Creek,2540.730713,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922855000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C12722CB7BD154C04BDFDB5CCBE04140,184405,0101000020110F0000AE1C820255AE61C1B26FDFD61D475041,184015,>1m <=5m,ATBI DATABASE,,1446922859000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294478,3959291,35.756199,-83.273177,Cosby Creek,Maddron Creek,2360.141113,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922859000,GRSM,UNR,,6,,,Old Settlers Trail,Cosby Entrance Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000033F37AB682CC54C0B435542CC1E14140,184412,0101000020110F000008CC2FC81BAA61C13497CA1B1F485041,184021,>1m <=5m,ATBI DATABASE,,1446922863000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301523,3959963,35.763701,-83.195474,Cosby Creek,,2575.935547,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922863000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006F319AF0E6C754C0F4FDC9294BE14140,184415,0101000020110F0000C12CE9CC31A661C1F6EB2B98A3475041,184024,>1m <=5m,ATBI DATABASE,,1446922864000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308025,3959420,35.760099,-83.123467,Big Creek,,2212.136719,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922864000,GRSM,UNR,,6,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004EF826FF33C854C00A395E9D7DDE4140,184414,0101000020110F00004606AD3E73A661C11B0BC5B2B4445041,184023,>1m <=5m,ATBI DATABASE,,1446922864000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307547,3957000,35.738202,-83.12817,Big Creek,Big Creek,2190.28125,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922864000,GRSM,UNR,,7,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AF14926467C354C0D4735DC8C8D24140,184420,0101000020110F000006698CCA5FA261C1D563EBD176385041,184027,>1m <=5m,ATBI DATABASE,,1446922866000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314117,3946710,35.646746,-83.053182,Lower Cataloochee Creek,Hoglen Branch,3699.446533,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922866000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898473600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000DF859EAE3DC554C0033B61363FCF4140,184419,0101000020110F00007C754035EFA361C19AC3378BC4345041,184026,>1m <=5m,ATBI DATABASE,,1446922865000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311453,3943699,35.61911,-83.081886,Upper Cataloochee Creek,Den Branch,3284.416992,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922865000,GRSM,UNR,,4,,,Boogerman Trail,Cataloochee Campground Loop Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1033689600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001FA6961020C654C043D3A1F97AC94140,184416,0101000020110F00003A7A9379AFA461C1CC2F44A6BE2E5041,184025,>1m <=5m,ATBI DATABASE,,1446922865000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310095,3938728,35.574059,-83.095703,Lower Johnathans Creek,,4946.144043,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446922865000,GRSM,UNR,,7,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand,No,day,cert,ATBI
0101000020E610000045221E30BFCB54C03AB5DF4CDFCE4140,184413,0101000020110F0000C93700B975A961C1B1BEEB5660345041,184022,>1m <=5m,ATBI DATABASE,,1446922863000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302238,3943574,35.616183,-83.18354,Straight Fork Raven Fork,Right Prong Ledge Creek,4672.271484,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922863000,GRSM,UNR,,5,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999129600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005FD846AECECD54C053C8C78ED0CF4140,184410,0101000020110F000026A6F3B835AB61C18B3E84665C355041,184019,>1m <=5m,ATBI DATABASE,,1446922861000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299340,3944456,35.623545,-83.215736,Straight Fork Raven Fork,Straight Fork Raven Fork,3348.5354,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922861000,GRSM,UNR,,7,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999129600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
