the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B393700AF3ED54C02A377259DCBB4140,56943,0101000020110F0000B4EF3A1282C661C1A611166488205041,56412,>1m <=5m,ATBI DATABASE,,1446854900000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253371,3928302,35.467655,-83.717955,Hazel Creek,Laurel Branch,1955.692139,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854900000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000075B7E33461EF54C0FDC2A17A55BD4140,56941,0101000020110F00007737530EB9C761C1A75B7EB011225041,56410,>1m <=5m,ATBI DATABASE,,1446854898000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251378,3929635,35.479164,-83.740304,Hazel Creek,Shehan Branch,1896.98645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854898000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000036ABC02198EC54C0AC82C4C205BE4140,56947,0101000020110F000069FCFB705BC561C151C35E8CC9225041,56414,>1m <=5m,ATBI DATABASE,,1446854901000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255344,3930123,35.484544,-83.696781,Hazel Creek,Hazel Creek,2070.091797,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854901000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003F907F10B0E854C09413E3B830B94140,56950,0101000020110F0000F22373150AC261C1E4890999BF1D5041,56417,>1m <=5m,ATBI DATABASE,,1446854902000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260771,3925785,35.446793,-83.635742,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1783.707642,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854902000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F17042EEB0E854C05CD46FB24FB94140,56949,0101000020110F000029AACAD10AC261C109E1DDE3DF1D5041,56416,>1m <=5m,ATBI DATABASE,,1446854902000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260769,3925890,35.447738,-83.635795,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1793.300659,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854902000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DAD3271CAEE854C007D24DBB48B94140,56952,0101000020110F0000A02F826C08C261C14075E1A0D81D5041,56419,>1m <=5m,ATBI DATABASE,,1446854903000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260784,3925866,35.447525,-83.635623,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1786.86499,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854903000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000015543181BAC554C09584DB19E7CF4140,56961,0101000020110F000079F4473859A461C1723E53F473355041,56429,>1m <=5m,ATBI DATABASE,,1446854909000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310775,3944282,35.624233,-83.089504,Upper Cataloochee Creek,Caldwell Fork,2695.097656,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446854909000,GRSM,UNR,,1,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1033689600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,56962,0101000020110F00002469CBC5E8A361C1385EE83A63305041,56430,>1m <=5m,ATBI DATABASE,,1446854909000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446854909000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000045221E30BFCB54C03AB5DF4CDFCE4140,56960,0101000020110F0000C93700B975A961C1B1BEEB5660345041,56428,>1m <=5m,ATBI DATABASE,,1446854908000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302238,3943574,35.616183,-83.18354,Straight Fork Raven Fork,Right Prong Ledge Creek,4672.271484,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446854908000,GRSM,UNR,,5,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999129600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001165DF7DC4CE54C0E9975D37F2CE4140,56959,0101000020110F000031F4607D06AC61C10B480B1A74345041,56427,>1m <=5m,ATBI DATABASE,,1446854907000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297964,3943734,35.61676,-83.230739,Straight Fork Raven Fork,Hyatt Creek,3685.529297,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446854907000,GRSM,UNR,,4,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,998870400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F2AD21CE29DD54C03C67275D9CC34140,56944,0101000020110F0000DEB47C6D40B861C174B633199E285041,56423,>1m <=5m,ATBI DATABASE,,1446854905000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277343,3934395,35.528202,-83.455673,Noland Creek,,4333.597168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854905000,GRSM,UNR,,3,,,Noland Divide Trail,Clingmans Dome Road Parking #3,Valid,Symphyotrichum_undulatum,Symphyotrichum  undulatum,39094,Wavy-leaf American-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,day,cert,ATBI
